age,berry,measurement,measurementlow,measurementhigh,weight,weightlow,weighthigh,slide
3,a poppy seed,0.08,0.08,0.08,0.00006,0.00006,0.00006,5
4,a sesame seed,0.13,0.13,0.13,0.00011,0.00011,0.00011,6
5,a sunflower seed,0.23,0.23,0.23,0.00019,0.00019,0.00019,7
6,a raisin,0.38,0.38,0.38,0.00028,0.00028,0.00028,8
7,a blueberry,0.79,0.79,0.79,0.0005,0.0005,0.0005,8
8,a raspberry,1.5,1.5,1.5,0.001,0.001,0.001,9
9,a cherry,2,2,2,0.002,0.002,0.002,9
10,a strawberry,3,3,3,0.0037,0.0037,0.0037,10
11,an apricot,4.3,4.3,4.3,0.0079,0.0079,0.0079,10
12,a lime,5.8,5.8,5.8,0.0144,0.0144,0.0144,10
13,a plum,7.62,7.62,7.62,0.0255,0.0255,0.0255,11
14,a lemon,8.92,8.22,9.62,0.0454,0.0454,0.0454,11
15,a peach,10.59,9.770952381,11.40904762,0.0726,0.0726,0.0726,11
16,an avocado,11.9,10.96190476,12.83809524,0.146,0.121,0.171,11
17,an apple,13.3,12.24285714,14.35714286,0.181,0.15,0.212,11
18,an orange,14.4,13.22380952,15.57619048,0.223,0.185,0.261,11
19,an onion,15.7,14.4047619,16.9952381,0.273,0.227,0.319,11
20,a pomegranate,26,24.58571429,27.41428571,0.331,0.275,0.387,11
21,a mango,27.1,25.56666667,28.63333333,0.399,0.331,0.467,12
22,a jicama,28,26.34761905,29.65238095,0.478,0.398,0.559,12
23,a grapefruit,29.2,27.42857143,30.97142857,0.568,0.471,0.665,12
24,a coconut,30.5,28.60952381,32.39047619,0.67,0.556,0.784,12
25,a papaya,32.8,30.79047619,34.80952381,0.785,0.652,0.918,13
26,a broccoli,35.5,33.37142857,37.62857143,0.913,0.758,1.068,13
27,a melon,37.3,35.05238095,39.54761905,1.055,0.876,1.234,14
28,an aubergine,38.1,35.73333333,40.46666667,1.21,1.004,1.416,14
29,a spaghetti squash,39.4,36.91428571,41.88571429,1.379,1.145,1.613,14
30,a cauliflower,40.4,37.7952381,43.0047619,1.559,1.294,1.824,15
31,a cabbage,41.5,38.77619048,44.22380952,1.751,1.453,2.049,15
32,a pineapple,43.3,40.45714286,46.14285714,1.953,1.621,2.285,16
33,a honeydew melon,44.8,41.83809524,47.76190476,2.162,1.794,2.53,17
34,a celery,46,42.91904762,49.08095238,2.377,1.973,2.781,17
35,a lettuce,47.3,44.1,50.5,2.595,2.154,3.036,17
36,a cabbage,48.2,44.88095238,51.51904762,2.813,2.335,3.291,17
37,a butternut squash,49.5,46.06190476,52.93809524,3.028,2.513,3.543,17
38,a crenshaw melon,50.7,47.14285714,54.25714286,3.236,2.686,3.786,17
39,a watermelon,51.6,47.92380952,55.27619048,3.435,2.851,4.019,17
40,a pumpkin,52.2,48.4047619,55.9952381,3.619,3.004,4.234,17